CountryName,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare,H5_Investment in vaccines,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,total_tests,total_tests_per_thousand,tests_per_case,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Congo,6632650000.0,0.0,209931.0,0.0,3979.0,78.0,52.053442622950826,55.50799180327874,47.759959016393445,47.83483606557369,47.33606557377049,0.0,0.0,0.0,5518092.0,15.405,19.0,2.063,4881.406,37.0,47.964,0.0,64.57
Costa Rica,503200000.0,0.0,0.0,0.0,39699.0,418.0,52.1540000000001,60.52497959183669,49.51902040816323,52.731795918367375,31.836734693877553,125419.0,24.62,0.0,5094114.0,96.079,33.6,5.694,15524.995,1.3,83.84100000000001,1.13,80.28
Cote d'Ivoire,313191000.0,1600000.0,42140700.0,0.0,17948.0,115.0,40.97628571428569,46.48861224489811,39.9169795918367,41.868530612244854,29.183673469387756,125972.0,4.776,21.829,26378275.0,76.399,18.7,1.5819999999999999,3601.006,28.2,19.351,0.0,57.78
Croatia,4214550000.0,0.0,1275773800.0,3292815.0,10123.0,184.0,41.03074074074068,48.20925925925944,49.00748971193432,46.82658436214004,61.008230452674894,168229.0,40.979,2639.0,4105268.0,73.726,44.0,13.052999999999999,22669.797000000002,0.7,0.0,5.54,78.49
Cuba,0.0,0.0,0.0,0.0,3973.0,94.0,54.96526530612243,59.73787755102021,50.425918367347045,54.00171428571434,30.76530612244898,392785.0,34.678000000000004,1191.647,11326616.0,110.40799999999999,43.1,9.719,0.0,0.0,85.198,5.2,78.8
Cyprus,1370822320.0,0.0,109760500.0,0.0,1487.0,21.0,48.19934693877538,55.65853061224479,54.17999999999979,50.82240816326523,72.65306122448979,0.0,0.0,0.0,875899.0,127.65700000000001,37.3,8.562999999999999,32415.132,0.0,0.0,3.4,80.98
Czech Republic,4053313388.41,1012736.86,121599401.65,0.0,24367.0,423.0,39.03897959183682,47.4160408163265,44.460163265306115,42.961061224489875,52.704081632653065,896813.0,83.744,147.475,10708982.0,137.17600000000002,43.3,11.58,32605.906000000003,0.0,0.0,6.63,79.38
Democratic Republic of Congo,363270000.0,0.0,47000000.0,0.0,10044.0,257.0,49.27710204081639,53.5995510204081,43.803142857142795,45.73681632653044,33.16326530612245,0.0,0.0,14.376,89561404.0,35.879,17.0,1.745,808.133,77.1,4.4719999999999995,0.0,60.68
Denmark,42066226711.27,94575000.0,94575000.0,0.0,16700.0,624.0,46.49616326530611,57.38763265306117,50.11065306122451,49.21155102040808,55.05102040816327,2417508.0,417.37300000000005,971.4060000000001,5792203.0,136.52,42.3,12.325,46682.515,0.2,0.0,2.5,80.9
Djibouti,5650000.0,0.0,5000000.0,0.0,5385.0,60.0,43.34178423236529,47.63298755186717,41.448174273858974,47.003651452282284,10.892116182572614,0.0,0.0,0.0,988002.0,41.285,25.4,2.38,2705.406,22.5,0.0,1.4,67.11
