CountryName,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare,H5_Investment in vaccines,ConfirmedCases,ConfirmedDeaths,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,total_tests,total_tests_per_thousand,tests_per_case,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,FemaleLeader,DaysWithoutCase,DaysWithoutTest,DaysWithoutGovResponse
Paraguay,2100000000.0,0.0,100000000.0,0.0,17195.0,308.0,61.0383196721312,64.04168032786905,56.603442622950894,58.32569672131158,47.13114754098361,185921.0,26.067,118.045,7132530.0,17.144000000000002,26.5,3.833,8827.01,1.7,79.602,1.3,74.25,0,67,66,22
Peru,8792497069.0,0.0,170700000.0,0.0,647166.0,28788.0,62.62926530612248,63.32897959183681,58.90538775510204,60.22922448979598,51.63265306122449,552929.0,16.77,0.0,32971846.0,25.129,29.1,4.455,12236.706,3.5,0.0,1.6,76.74,0,66,30,30
Philippines,23000000000.0,0.0,61000000.0,400000000.0,217396.0,3520.0,65.46782786885247,69.92389344262297,58.5731557377051,66.79127049180329,13.370901639344266,2403510.0,21.934,44.9,109581085.0,351.8730000000001,25.2,2.661,7599.188,0.0,78.46300000000002,1.0,71.23,0,29,23,23
Poland,50740292000.0,0.0,336870464.0,507361020.0,66870.0,2033.0,43.692254098360564,53.585737704918,39.62622950819672,42.294795081967116,24.94877049180328,2587559.0,68.37,79.288,37846605.0,124.027,41.8,10.202,27216.445,0.0,0.0,6.62,78.73,0,63,81,22
Portugal,10121400000.0,0.0,0.0,10819830.0,57768.0,1819.0,53.06860655737714,59.15422131147535,53.496024590163906,54.7822540983606,46.4139344262295,1976482.0,193.835,83.29700000000003,10196707.0,112.371,46.2,14.924,27936.896,0.5,0.0,3.39,82.05,0,62,25,25
Puerto Rico,700000000.0,0.0,340000000.0,0.0,32848.0,434.0,57.62216326530621,62.82702040816322,54.01559183673471,55.2292244897959,47.3360655737705,0.0,0.0,0.0,2860840.0,376.232,38.2,9.829,35044.67,0.0,0.0,0.0,80.1,0,87,58,29
Qatar,20600000000.0,424000.0,0.0,0.0,118575.0,197.0,59.150285714285715,66.3292653061226,55.20000000000012,60.09497959183668,28.26530612244898,624609.0,216.798,73.596,2881060.0,227.322,31.9,0.617,116935.6,0.0,0.0,1.2,80.23,0,60,57,23
Romania,3099171108.48,0.0,24236047.0,808365.6,86785.0,3578.0,45.99518367346956,52.41453061224493,46.11053061224496,44.095959183673365,57.1938775510204,1795633.0,93.339,62.969,19237682.0,85.12899999999998,43.0,11.69,23313.199,5.7,0.0,6.892,76.05,0,57,82,26
Russia,1465500000.0,1000000.0,741974138.0,286175609.0,990326.0,17093.0,53.8471428571428,54.305428571428614,54.137795918367516,57.11677551020414,37.755102040816325,36696382.0,251.458,5091.333,145934460.0,8.823,39.6,9.393,24765.954,0.1,0.0,8.05,72.58,0,31,30,29
Rwanda,109400000.0,0.0,16453484.0,0.0,4020.0,16.0,54.36683127572014,58.88308641975316,52.32576131687239,58.13489711934144,20.37037037037037,393237.0,30.361,1039.5,12952209.0,494.869,20.3,1.642,1854.211,56.0,4.617,0.0,69.02,0,74,41,20
San Marino,0.0,0.0,0.0,0.0,710.0,42.0,42.64487704918031,48.93758196721304,46.49540983606549,47.309590163934594,42.00819672131148,0.0,0.0,0.0,33938.0,556.6669999999998,0.0,0.0,56861.47,0.0,0.0,3.8,84.97,0,58,57,53
Saudi Arabia,18600000000.0,525000000.0,139540000.0,10000000.0,314821.0,3870.0,56.77918367346931,62.74534693877549,56.681428571428654,60.085183673469416,37.95918367346939,5063593.0,145.44799999999995,52.144,34813867.0,15.322,31.9,1.845,49045.41099999999,0.0,0.0,2.7,75.13,0,62,64,29
Senegal,1648500000.0,0.0,106163400.0,0.0,13556.0,284.0,40.47677551020403,43.26346938775525,43.68134693877551,44.06330612244894,41.58163265306123,151044.0,9.021,28.0,16743930.0,82.32799999999997,18.7,1.796,2470.58,38.0,20.859,0.0,67.94,0,62,65,65
Serbia,0.0,0.0,109000000.0,0.0,31365.0,711.0,42.73608163265315,47.37485714285711,42.205061224489896,44.934734693877466,27.193877551020414,925208.0,135.968,122.269,6804596.0,80.291,41.2,0.0,14048.881,0.0,97.719,5.609,76.0,1,66,57,21
Seychelles,28000000.0,0.0,0.0,0.0,136.0,0.0,35.8790534979424,40.43312757201642,36.323991769547206,39.91798353909464,16.56378600823045,0.0,0.0,0.0,98340.0,208.354,36.2,5.586,26382.287,1.1,0.0,3.6,73.4,0,74,73,28
Sierra Leone,7500000.0,0.0,0.0,0.0,2022.0,70.0,38.11102040816317,43.17653061224489,36.89726530612258,40.766897959183616,15.612244897959185,0.0,0.0,0.0,7976985.0,104.7,19.1,1.285,1390.3,52.2,19.275,0.0,54.7,0,91,90,75
Singapore,33560000000.0,0.0,5600000.0,0.0,56771.0,27.0,50.355454545454634,55.262727272727155,54.95471074380161,55.35144628099178,52.789256198347104,758569.0,129.662,81.641,5850343.0,7915.731,42.4,7.049,85535.383,0.0,0.0,2.4,83.62,1,23,1,1
Slovenia,3325569569.0,0.0,0.0,15300000.0,2865.0,128.0,38.25991803278696,42.10750000000007,42.99811475409816,42.54418032786892,45.49180327868853,157456.0,75.73899999999998,4347.0,2078932.0,102.619,44.5,12.93,31400.84,0.0,0.0,4.5,81.32,0,64,63,63
Somalia,5000000.0,0.0,0.0,0.0,3310.0,98.0,29.64212244897951,35.749428571428595,22.95946938775505,26.46477551020407,3.673469387755102,0.0,0.0,0.0,15893219.0,23.5,16.8,1.496,0.0,0.0,9.831,0.9,57.4,0,76,84,73
South Africa,36300000000.0,0.0,31267209.54,0.0,625056.0,14028.0,56.64934426229514,62.682540983606685,54.73311475409845,58.66766393442619,33.09426229508197,3674872.0,61.962,65.59100000000001,59308690.0,46.754,27.3,3.053,12294.876,18.9,43.993,2.32,64.13,0,65,66,22
South Korea,80669710999.0,53000000.0,3617399223.0,174100000.0,19947.0,324.0,45.854708333333406,51.94845833333326,50.06883333333328,53.20512500000017,32.8125,1879813.0,36.666,1878.333,51269183.0,527.967,43.4,8.622,35938.374,0.2,0.0,12.27,83.03,0,19,20,20
South Sudan,0.0,0.0,7600000.0,0.0,2519.0,47.0,55.03583673469379,60.73,46.98126530612259,53.16722448979607,12.959183673469386,0.0,0.0,0.0,11193729.0,0.0,19.2,2.032,1569.888,0.0,0.0,0.0,57.85,0,96,61,54
Spain,0.0,0.0,4213310800.0,26342520.0,439286.0,29011.0,50.45942857142861,55.28351020408148,53.83763265306119,49.92416326530611,75.35714285714286,5849939.0,125.12,131.121,46754783.0,93.105,45.5,13.799,34272.36,1.0,0.0,2.97,83.56,0,31,23,0
Sri Lanka,500000000.0,128000000.0,128600000.0,0.0,3012.0,12.0,48.05371428571438,53.48734693877564,47.39653061224496,51.48689795918372,24.897959183673468,0.0,0.0,0.0,21413250.0,341.955,34.1,5.331,11669.077,0.7,0.0,3.6,76.98,0,27,36,25
Sudan,300000000.0,0.0,123570000.0,0.0,13189.0,823.0,56.38485714285703,61.87506122448983,48.292081632653044,53.566693877550975,19.285714285714285,0.0,0.0,0.0,43849269.0,23.258000000000006,19.7,2.0340000000000003,4466.507000000001,0.0,23.437,0.8,65.31,0,73,72,27
Suriname,93870000.0,0.0,53640000.0,0.0,4009.0,67.0,56.08187755102047,57.95391836734702,46.60636734693878,51.629469387755044,18.97959183673469,0.0,0.0,0.0,586634.0,3.612,29.6,4.229,13767.119,0.0,67.779,3.1,71.68,0,74,74,72
Sweden,7640801000.0,40000000.0,642000000.0,9900000.0,83958.0,5821.0,28.641183673469467,36.222285714285704,34.00093877551018,32.1562040816326,44.13265306122449,0.0,0.0,44.982,10099270.0,24.718000000000004,41.0,13.433,46949.283,0.5,0.0,2.22,82.8,0,31,30,30
Switzerland,31643000000.0,232000000.0,1907000000.0,329000000.0,41906.0,1724.0,40.87481632653057,45.09232653061232,42.48448979591836,44.21457142857139,32.95918367346939,1012884.0,117.034,833.0,8654618.0,214.243,43.1,12.644,57410.166,0.0,0.0,4.53,83.78,0,56,54,45
Syria,0.0,0.0,31000000.0,0.0,2703.0,109.0,48.745469387755136,55.801183673469545,35.34779591836727,41.77359183673469,0.0,0.0,0.0,0.0,17500657.0,0.0,21.7,2.577,0.0,0.0,70.598,1.5,72.7,0,82,92,31
Taiwan,32761907413.0,0.0,560790000.0,1733514.0,0.0,0.0,22.150590717299465,29.30611814345984,31.57105485232066,32.87890295358651,24.367088607594933,87291.0,3.665,3661.0,23816775.0,0.0,42.2,8.353,0.0,0.0,0.0,0.0,80.46,1,245,19,0
Tajikistan,1200000.0,0.0,292800.0,0.0,8550.0,68.0,36.61685714285704,45.646530612244966,33.97881632653061,36.539510204081544,19.897959183673468,0.0,0.0,0.0,9537642.0,64.281,23.3,2.155,2896.913,4.8,72.704,4.8,71.1,0,121,34,20
Tanzania,0.0,0.0,302000000.0,0.0,509.0,21.0,25.27661224489793,27.22277551020413,19.490938775510198,23.03522448979588,0.0,0.0,0.0,0.0,59734213.0,64.699,17.7,1.874,2683.304,49.1,47.953,0.7,65.46,0,76,239,29
Thailand,58000000000.0,0.0,19354778041.0,1390000000.0,3412.0,58.0,43.487673469387644,48.803387755102264,46.94142857142853,45.21702040816335,56.42857142857143,417044.0,5.975,3540.091,69799978.0,135.132,40.1,6.89,16277.671,0.1,90.67,2.1,77.15,0,12,61,61
Togo,666872981.0,0.0,1004059.72,0.0,1396.0,27.0,41.88967346938775,47.13285714285711,37.729387755102074,40.173673469387865,24.285714285714285,54709.0,6.608,280.0,8278737.0,143.366,19.4,1.525,1429.813,49.2,10.475,0.7,61.04,0,66,65,65
Trinidad and Tobago,384507099.83,0.0,23260773.0,0.0,1683.0,21.0,53.459795918367426,59.80224489795926,49.87673469387762,53.50779591836728,29.897959183673468,0.0,0.0,0.0,1399491.0,266.886,36.2,5.819,28763.071,0.0,89.443,3.0,73.51,1,72,63,29
Tunisia,816000000.0,0.0,34231980.0,0.0,3685.0,76.0,39.42465306122451,45.179836734693716,41.73163265306108,40.13575510204082,50.51020408163265,136199.0,11.524,3122.0,11818618.0,74.22800000000002,32.7,5.075,10849.297,2.0,78.687,2.3,76.7,0,62,61,61
Turkey,15432708096.0,5000000.0,0.0,0.0,268546.0,6326.0,47.75599999999997,59.5486938775512,50.88477551020425,51.639061224489794,46.734693877551024,7028390.0,83.335,71.86399999999998,84339067.0,104.914,31.6,5.061,25129.341,0.2,0.0,2.81,77.69,0,71,13,13
Turks and Caicos Islands,0.0,0.0,0.0,0.0,507.0,3.0,44.71085836909865,46.70914163090127,62.162767857142725,67.99109756097558,12.5,0.0,0.0,0.0,38718.0,37.312,0.0,0.0,0.0,0.0,0.0,0.0,80.22,0,84,0,0
Uganda,300000000.0,0.0,6793500000.0,0.0,2928.0,30.0,59.54187500000013,63.03608333333332,50.382249999999935,54.52350000000011,27.60416666666667,367423.0,8.033,1676.5,45741000.0,213.759,16.4,1.308,1697.707,41.6,21.222,0.5,63.37,0,81,41,19
Ukraine,2367947184.0,0.0,2411800000.0,0.0,119074.0,2527.0,47.874530612244776,53.148081632653096,45.037795918367436,48.624244897958995,25.306122448979593,1550280.0,35.448,26.499,43733759.0,77.39,41.4,11.133,7894.393,0.1,0.0,8.8,72.06,0,63,35,35
United Arab Emirates,42477876106.0,10000000.0,0.0,0.0,69690.0,382.0,46.48196721311461,54.941024590163785,48.521106557376974,51.642540983606594,31.352459016393446,7011895.0,708.96,5957.0,9890400.0,112.442,34.0,0.526,67293.483,0.0,0.0,1.2,77.97,0,26,69,22
United Kingdom,420452571128.04,183360000.0,7528769340.0,509182264.22,334467.0,41499.0,50.8110680272109,55.520639455782316,53.71436054421771,51.131082993197296,67.92857142857143,13447568.0,198.09,230.732,67886004.0,272.898,40.8,12.527,39753.244,0.2,0.0,2.54,81.32,0,31,19,19
United States,1957600000000.0,1300000000.0,242450000000.0,1950000000.0,11923670.0,365396.0,48.65673174149368,54.43360511644396,49.73778369921959,49.99543233333802,48.32953774620239,83898416.0,253.468,26.247,331002647.0,35.60800000000001,38.3,9.732,54225.446,1.2,0.0,2.77,78.86,0,20,19,0
Uruguay,520000000.0,0.0,0.0,0.0,1585.0,44.0,33.86216326530607,44.98469387755091,36.463142857142905,34.725795918367375,46.020408163265316,171237.0,49.295,2712.5,3473727.0,19.751,35.6,10.361,20551.409,0.1,0.0,2.8,77.91,0,74,72,72
Uzbekistan,1047120400.0,0.0,52356020.0,0.0,41651.0,317.0,56.446979591836794,62.65889795918362,51.805428571428564,55.21269387755111,33.061224489795926,0.0,0.0,0.0,33469199.0,76.134,28.2,2.873,6253.104,0.0,0.0,4.0,71.72,0,75,28,20
Venezuela,0.0,0.0,10000000.0,0.0,45868.0,381.0,59.24871900826459,60.92355371900817,50.69136363636358,53.85946280991718,33.264462809917354,0.0,0.0,0.0,28435943.0,36.253,29.0,3.915,16745.022,0.0,0.0,0.8,72.06,0,74,40,40
Vietnam,7630000000.0,60000.0,86180.0,0.0,1040.0,32.0,55.32632653061223,63.27400000000002,52.89208163265288,58.89253061224499,19.897959183673468,261004.0,2.681,47299.0,97338583.0,308.127,32.6,4.718,6171.884,2.0,85.84700000000002,2.6,75.4,0,23,26,24
Yemen,0.0,0.0,0.0,0.0,1953.0,564.0,31.06461224489785,39.874571428571436,21.50502040816328,25.418122448979613,0.0,0.0,0.0,0.0,29825968.0,53.508,20.3,1.5830000000000002,1479.1470000000004,18.8,49.542,0.7,66.12,0,100,242,74
Zambia,439000000.0,0.0,38360000.0,0.0,12025.0,287.0,35.123714285714385,43.31975510204078,33.57808163265298,36.753306122448976,16.122448979591837,0.0,0.0,0.0,18383956.0,22.995,17.7,1.5419999999999998,3689.251,57.5,13.938,2.0,63.89,0,78,77,51
Zimbabwe,715000000.0,0.0,50.0,1.1,6412.0,196.0,55.222875,61.74300000000004,44.528958333333456,49.93737499999996,14.791666666666664,97272.0,6.545,1127.0,14862927.0,42.729,19.6,1.882,1899.775,21.4,36.791,1.7,61.49,0,80,99,26
